experiment_replicate,day,date,time,sample_media,ID,plate_type,dilution_factor,dot1,dot2,dot3,dot4,dot5,dot6,dot7,dot8,dot9,dot10,inflow_setting
dd6,0,09/09/2024,,sample,wild_type,lb,6,12,39,29,25,28,25,25,18,41,14,
dd6,0,09/09/2024,,sample,control,lb,1,0,0,0,0,0,0,0,0,0,0,
dd6,1,10/09/2024,b,sample,M0,lb,4,26,21,23,25,16,30,15,25,22,17,0.003
dd6,1,10/09/2024,b,sample,M1,lb,5,34,35,66,43,48,39,44,48,25,30,0.0001
dd6,1,10/09/2024,b,sample,M2,lb,5,24,35,33,32,33,37,37,31,43,32,0.0005
dd6,1,10/09/2024,b,sample,M3,lb,5,14,37,27,15,31,23,25,34,32,32,0.0015
dd6,1,10/09/2024,b,sample,M4,lb,5,31,31,53,31,50,45,50,53,34,38,0.001
dd6,1,10/09/2024,b,sample,M5,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd6,1,10/09/2024,b,sample,M6,lb,5,17,9,6,9,9,11,15,5,10,12,0.0025
dd6,1,10/09/2024,b,sample,M7,lb,5,24,33,28,34,21,32,27,25,21,25,0.002
dd6,2,11/09/2024,b,sample,M0,lb,4,54,38,64,43,60,40,38,42,48,40,0.003
dd6,2,11/09/2024,b,sample,M1,lb,6,15,25,8,17,16,18,11,14,13,10,0.0001
dd6,2,11/09/2024,b,sample,M2,lb,5,34,46,50,45,45,55,55,32,50,42,0.0005
dd6,2,11/09/2024,b,sample,M3,lb,5,66,60,42,51,44,55,49,39,57,46,0.0015
dd6,2,11/09/2024,b,sample,M4,lb,5,69,49,68,59,63,47,65,43,53,,0.001
dd6,2,11/09/2024,b,sample,M5,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd6,2,11/09/2024,b,sample,M6,lb,5,7,13,5,15,9,16,17,14,21,8,0.0025
dd6,2,11/09/2024,b,sample,M7,lb,5,24,21,28,20,36,26,27,45,21,10,0.002
dd6,2,11/09/2024,a,sample,M0,lb,4,27,36,43,33,32,44,39,37,28,33,0.003
dd6,2,11/09/2024,a,sample,M1,lb,6,10,14,12,7,15,12,7,14,6,12,0.0001
dd6,2,11/09/2024,a,sample,M2,lb,5,34,31,45,37,26,36,34,25,36,24,0.0005
dd6,2,11/09/2024,a,sample,M3,lb,5,30,30,34,39,24,27,33,30,37,49,0.0015
dd6,2,11/09/2024,a,sample,M4,lb,5,27,50,36,47,46,62,32,50,33,49,0.001
dd6,2,11/09/2024,a,sample,M5,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd6,2,11/09/2024,a,sample,M6,lb,5,16,15,29,22,17,13,21,14,24,16,0.0025
dd6,2,11/09/2024,a,sample,M7,lb,5,32,39,31,19,26,22,26,19,18,18,0.002
dd6,3,12/09/2024,b,sample,M0,lb,5,16,18,12,15,21,21,8,16,,,0.003
dd6,3,12/09/2024,b,sample,M1,lb,6,12,8,20,18,12,19,10,6,9,13,0.0001
dd6,3,12/09/2024,b,sample,M2,lb,6,17,14,19,23,11,21,13,11,16,16,0.0005
dd6,3,12/09/2024,b,sample,M3,lb,5,77,54,57,51,45,59,42,41,46,43,0.0015
dd6,3,12/09/2024,b,sample,M4,lb,6,20,25,17,20,25,21,20,18,22,,0.001
dd6,3,12/09/2024,b,sample,M5,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd6,3,12/09/2024,b,sample,M6,lb,5,25,25,21,19,18,25,18,14,28,22,0.0025
dd6,3,12/09/2024,b,sample,M7,lb,5,43,37,35,30,33,31,37,22,31,25,0.002
dd7,0,25/09/2024,,sample,wild_type,lb,5,43,67,41,44,35,52,49,31,21,62,
dd7,0,25/09/2024,,sample,control,lb,1,0,0,0,0,0,0,0,0,0,0,
dd7,1,26/09/2024,b,sample,M0,lb,4,57,42,33,50,42,43,40,36,52,54,0.0025
dd7,1,26/09/2024,b,sample,M1,lb,5,27,35,35,32,38,43,30,36,23,31,0.001
dd7,1,26/09/2024,b,sample,M2,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd7,1,26/09/2024,b,sample,M3,lb,5,24,23,25,24,27,18,31,27,28,20,0.002
dd7,1,26/09/2024,b,sample,M4,lb,5,35,31,38,48,46,45,36,33,41,,0.0001
dd7,1,26/09/2024,b,sample,M5,lb,3,44,31,56,25,41,23,43,39,28,36,0.003
dd7,1,26/09/2024,b,sample,M6,lb,5,45,45,29,32,38,43,30,49,20,66,0.0005
dd7,1,26/09/2024,b,sample,M7,lb,5,31,26,38,20,37,20,45,29,33,22,0.0015
dd7,2,27/09/2024,b,sample,M0,lb,5,30,15,19,14,9,25,23,12,17,21,0.0025
dd7,2,27/09/2024,b,sample,M1,lb,5,32,46,41,23,40,23,39,24,27,38,0.001
dd7,2,27/09/2024,b,sample,M2,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd7,2,27/09/2024,b,sample,M3,lb,5,40,35,42,36,45,38,33,38,27,38,0.002
dd7,2,27/09/2024,b,sample,M4,lb,5,80,74,45,89,77,54,70,57,75,53,0.0001
dd7,2,27/09/2024,b,sample,M5,lb,4,13,10,20,22,14,12,17,12,20,15,0.003
dd7,2,27/09/2024,b,sample,M6,lb,5,51,41,42,58,60,45,54,54,40,55,0.0005
dd7,2,27/09/2024,b,sample,M7,lb,5,73,45,45,50,53,60,48,58,44,,0.0015
dd7,3,28/09/2024,b,sample,M0,lb,5,9,25,9,30,23,14,24,18,18,23,0.0025
dd7,3,28/09/2024,b,sample,M1,lb,5,26,73,70,76,66,64,57,,,,0.001
dd7,3,28/09/2024,b,sample,M2,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd7,3,28/09/2024,b,sample,M3,lb,6,10,13,10,5,7,11,6,10,11,4,0.002
dd7,3,28/09/2024,b,sample,M4,lb,5,28,41,30,50,31,49,24,40,44,35,0.0001
dd7,3,28/09/2024,b,sample,M5,lb,4,33,15,25,21,18,11,26,17,27,14,0.003
dd7,3,28/09/2024,b,sample,M6,lb,5,45,41,39,44,26,43,43,28,,,0.0005
dd7,3,28/09/2024,b,sample,M7,lb,5,59,60,71,65,70,77,54,58,,,0.0015
dd7,4,29/09/2024,b,sample,M0,lb,5,29,23,35,20,34,25,20,27,26,,0.0025
dd7,4,29/09/2024,b,sample,M1,lb,5,42,42,49,32,29,38,46,39,44,35,0.001
dd7,4,29/09/2024,b,sample,M2,lb,1,0,0,0,0,0,0,0,0,0,0,0.0001
dd7,4,29/09/2024,b,sample,M3,lb,5,52,30,27,52,34,25,32,35,39,38,0.002
dd7,4,29/09/2024,b,sample,M4,lb,5,44,41,28,52,26,59,33,28,35,42,0.0001
dd7,4,29/09/2024,b,sample,M5,lb,4,21,41,37,28,27,36,22,26,29,31,0.003
dd7,4,29/09/2024,b,sample,M6,lb,5,27,58,24,50,58,42,30,49,40,40,0.0005
dd7,4,29/09/2024,b,sample,M7,lb,5,48,46,47,59,47,50,41,44,58,47,0.0015