experiment_replicate,day,date,time,sample_media,ID,plate_type,dilution_factor,dot1,dot2,dot3,dot4,dot5,dot6,dot7,dot8,dot9,dot10
dd2,0,4/30/2024,11:00:00,media,inflow_media_1,lb,0,0,0,0,0,0,0,0,0,0,0
dd2,0,4/30/2024,11:00:00,media,inflow_media_2,lb,0,0,0,0,0,0,0,0,0,0,0
dd2,0,4/30/2024,11:00:00,media,media_deep_well,lb,0,0,0,0,0,0,0,0,0,0,0
dd2,0,4/30/2024,11:00:00,media,mgso4,lb,0,0,0,0,0,0,0,0,0,0,0
dd2,0,4/30/2024,11:00:00,media,cacl2,lb,0,0,0,0,0,0,0,0,0,0,0
dd2,0,4/30/2024,11:00:00,media,m9_salts,lb,0,0,0,0,0,0,0,0,0,0,0
dd2,0,4/30/2024,11:00:00,sample,control,lb,1,0,0,0,0,0,0,0,0,0,0
dd2,0,4/30/2024,11:00:00,sample,wild_type,lb,5,111,74,82,96,65,63,97,67,83,89
dd2,2,05/02/2024,11:40:00,sample,M0,lb,5,35,36,40,49,52,40,28,34,50,38
dd2,2,05/02/2024,11:40:00,sample,M1,lb,5,25,49,55,41,46,44,57,,,
dd2,2,05/02/2024,11:40:00,sample,M2,lb,5,44,32,34,40,46,27,41,33,49,43
dd2,2,05/02/2024,11:40:00,sample,M3,lb,5,28,35,22,43,27,30,27,41,31,29
dd2,2,05/02/2024,11:40:00,sample,M4,lb,5,33,36,27,22,18,21,33,19,28,25
dd2,2,05/02/2024,11:40:00,sample,M5,lb,5,40,35,52,,,,,,,
dd2,2,05/02/2024,11:40:00,sample,M6,lb,5,33,34,32,23,29,34,24,32,36,29
dd2,2,05/02/2024,11:40:00,sample,M7,lb,5,30,23,29,29,23,36,31,25,21,
dd2,2,05/02/2024,11:40:00,sample,M0,rif,1,0,0,0,0,0,0,0,0,0,0
dd2,2,05/02/2024,11:40:00,sample,M1,rif,1,,,0,0,0,0,0,0,0,0
dd2,2,05/02/2024,11:40:00,sample,M2,rif,1,0,0,0,0,0,0,0,0,0,0
dd2,2,05/02/2024,11:40:00,sample,M3,rif,1,0,0,0,0,0,0,0,0,0,0
dd2,2,05/02/2024,11:40:00,sample,M4,rif,1,2,3,3,6,2,2,3,0,0,
dd2,2,05/02/2024,11:40:00,sample,M5,rif,1,0,0,0,0,0,0,0,0,0,
dd2,2,05/02/2024,11:40:00,sample,M6,rif,1,0,0,0,0,0,0,0,0,0,0
dd2,2,05/02/2024,11:40:00,sample,M7,rif,1,1,0,1,0,1,1,0,1,0,1
dd2,2,05/02/2024,11:40:00,media,media_deep_well,lb,0,0,0,0,0,0,0,0,0,0,0
dd2,2,05/02/2024,11:40:00,media,inflow_media_top_up,lb,0,0,0,0,0,0,0,0,0,0,0
dd3,4,5/26/2024,13:00,sample,M6,lb,5,35,39,40,37,37,46,34,37,37,37
dd3,4,5/26/2024,13:00,sample,M7,lb,5,36,25,30,19,22,21,26,27,31,18
dd3,4,5/26/2024,13:00,sample,M4,lb,1,0,0,0,0,0,0,0,0,0,0
dd3,4,5/26/2024,13:00,sample,M5,lb,5,29,46,26,27,37,37,34,34,31,35
dd3,4,5/26/2024,13:00,sample,M0,lb,5,20,17,23,35,19,25,22,26,29,28
dd3,4,5/26/2024,13:00,sample,M1,lb,5,35,24,37,28,24,23,23,29,29,25
dd3,4,5/26/2024,13:00,sample,M3,lb,5,29,28,25,28,32,25,28,28,21,28
dd3,4,5/26/2024,13:00,sample,M2,lb,4,69,67,52,56,31,74,70,84,53,
dd3,2,5/24/2024,15:40,sample,M1,lb,5,65,51,47,37,57,38,43,48,59,24
dd3,0,5/22/2024,15:40:00,sample,wild_type,lb,5,73,65,78,65,78,67,77,61,57,72
dd3,6,5/27/2024,11:00,sample,M2,lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd3,6,5/27/2024,11:00,sample,M7,lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd4,0,6/25/2024,13:00:00,sample,wild_type,lb,5,60,60,62,63,52,58,55,65,59,72
dd4,0,6/25/2024,13:00:00,sample,control,lb,1,0,0,0,0,0,0,0,0,0,0
dd4,1,6/26/2024,13:15:00,sample,M0,lb,3,28,15,16,31,18,20,26,22,17,22
dd4,1,6/26/2024,13:15:00,sample,M1,lb,5,52,38,33,42,41,40,36,34,59,41
dd4,1,6/26/2024,13:15:00,sample,M2,lb,3,56,50,76,51,63,53,54,54,56,60
dd4,1,6/26/2024,13:15:00,sample,M3,lb,5,25,28,30,26,39,32,25,35,32,26
dd4,1,6/26/2024,13:15:00,sample,M4,lb,5,18,24,24,18,10,19,21,19,16,15
dd4,1,6/26/2024,13:15:00,sample,M5,lb,4,30,26,15,27,21,29,26,25,20,
dd4,1,6/26/2024,13:15:00,sample,M6,lb,1,0,0,0,0,0,0,0,0,0,0
dd4,1,6/26/2024,13:15:00,sample,M7,lb,5,22,15,10,20,16,9,10,13,13,11
dd4,2,6/27/2024,14:00:00,sample,M0,lb,4,17,25,30,19,16,15,21,23,24,20
dd4,2,6/27/2024,14:00:00,sample,M1,lb,5,33,37,35,29,33,28,25,38,33,30
dd4,2,6/27/2024,14:00:00,sample,M2,lb,4,17,16,25,26,25,18,23,26,23,16
dd4,2,6/27/2024,14:00:00,sample,M3,lb,5,48,36,44,54,52,44,41,49,43,47
dd4,2,6/27/2024,14:00:00,sample,M4,lb,5,25,15,25,27,28,23,21,24,26,25
dd4,2,6/27/2024,14:00:00,sample,M5,lb,4,42,46,47,36,39,34,38,35,39,25
dd4,2,6/27/2024,14:00:00,sample,M6,lb,1,0,0,0,0,0,0,0,0,0,0
dd4,2,6/27/2024,14:00:00,sample,M7,lb,5,18,13,26,22,19,23,22,18,18,13
dd4,3,6/28/2024,16:30:00,sample,M0,lb,4,54,55,47,65,39,71,50,37,38,55
dd4,3,6/28/2024,16:30:00,sample,M1,lb,5,18,16,21,19,21,25,25,24,22,23
dd4,3,6/28/2024,16:30:00,sample,M2,lb,4,28,40,29,46,28,48,50,47,24,33
dd4,3,6/28/2024,16:30:00,sample,M3,lb,5,18,17,19,29,29,35,21,18,,
dd4,3,6/28/2024,16:30:00,sample,M4,lb,5,20,21,11,24,15,24,28,24,16,22
dd4,3,6/28/2024,16:30:00,sample,M5,lb,5,15,11,11,14,16,16,13,13,14,8
dd4,3,6/28/2024,16:30:00,sample,M6,lb,1,0,0,0,0,0,0,0,0,0,0
dd4,3,6/28/2024,16:30:00,sample,M7,lb,5,31,38,21,46,29,31,23,28,28,25
dd4,4,6/29/2024,14:45:00,sample,M0,lb,4,60,52,54,52,64,55,50,70,67,
dd4,4,6/29/2024,14:45:00,sample,M1,lb,5,21,21,24,28,26,20,27,23,25,25
dd4,4,6/29/2024,14:45:00,sample,M2,lb,4,45,27,25,41,42,23,34,45,39,28
dd4,4,6/29/2024,14:45:00,sample,M3,lb,5,22,32,20,40,26,22,29,25,28,25
dd4,4,6/29/2024,14:45:00,sample,M4,lb,5,16,20,12,17,11,7,19,21,10,12
dd4,4,6/29/2024,14:45:00,sample,M5,lb,5,12,10,21,17,26,13,15,28,17,21
dd4,4,6/29/2024,14:45:00,sample,M6,lb,1,0,0,0,0,0,0,0,0,0,0
dd4,4,6/29/2024,14:45:00,sample,M7,lb,5,16,12,12,11,9,17,11,16,13,19