Condition,Replicate,Beaglebone,Bioreactor,Bioreactor_code,Strain,Type,24h_volume,48h_volume
chemostat,4,10,M0,B06,R19,competition,27.5,28
chemostat,4,10,M1,B05,R36,competition,23,23
chemostat,4,10,M2,B09,R36,monoculture,18.5,17.5
chemostat,4,10,M3,B01,R2,monoculture,25,27
chemostat,4,10,M4,A05,MG1655,monoculture,44,26
chemostat,4,10,M5,A01,R19,monoculture,30,29
chemostat,4,10,M6,A03,R2,competition,23,23.5
chemostat,4,10,M7,B10,CONTROL,CONTROL,23,25.5
chemostat,5,10,M0,B06,CONTROL,CONTROL,32,29
chemostat,5,10,M1,B05,R14,monoculture,23.5,26
chemostat,5,10,M2,B09,R18,monoculture,16.5,0
chemostat,5,10,M3,B01,R14,competition,26,28
chemostat,5,10,M4,A05,MG1655,monoculture,22.5,24
chemostat,5,10,M5,A06,R18,competition,25,24.5
chemostat,5,10,M6,A04,R26,monoculture,24,26
chemostat,5,10,M7,B10,R26,competition,21.5,23
chemostat,6,10,M0,B06,R14,competition,29,29.8
chemostat,6,10,M1,B05,R26,competition,18.6,20.4
chemostat,6,10,M2,B09,MG1655,monoculture,25.2,25.2
chemostat,6,10,M3,B01,R26,monoculture,25.3,25
chemostat,6,10,M4,A05,R18,monoculture,26.2,26
chemostat,6,10,M5,A06,R18,competition,33.6,22.8
chemostat,6,10,M6,C04,R14,monoculture,19.4,23
chemostat,6,10,M7,B10,CONTROL,CONTROL,28.4,29.6
chemostat,7,10,M0,B06,R14,competition,33.8,33.6
chemostat,7,10,M1,B05,R26,monoculture,19.8,19.8
chemostat,7,10,M2,B09,R14,monoculture,28.4,29
chemostat,7,10,M3,B01,R18,competition,23,23
chemostat,7,10,M4,A05,R26,competition,22.4,25.2
chemostat,7,10,M5,A06,CONTROL,CONTROL ,27.2,25.2
chemostat,7,10,M6,C04,R18,monoculture,22.6,22.8
chemostat,7,10,M7,B10,MG1655,monoculture,20.8,21.4