"experiment_replicate","day","ID","cfu_ul","od_blanked","inflow_setting","outflow_per_hour_mean","dilution_rate","inflow_volume","max_volume","dilution_rate_2","sample"
"dd6",1,"M0",44000,NA,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,"dd6.1"
"dd6",1,"M2",674000,NA,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,"dd6.1"
"dd6",1,"M3",540000,NA,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,"dd6.1"
"dd6",1,"M4",832000,NA,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,"dd6.1"
"dd6",1,"M6",206000,NA,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,"dd6.1"
"dd6",1,"M7",540000,NA,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,"dd6.1"
"dd6",2,"M0",93400,0.022,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,"dd6.2"
"dd6",2,"M2",908000,0.146,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,"dd6.2"
"dd6",2,"M3",1018000,0.115,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,"dd6.2"
"dd6",2,"M4",1146666.66666667,0.17,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,"dd6.2"
"dd6",2,"M6",250000,0.074,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,"dd6.2"
"dd6",2,"M7",516000,0.119,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,"dd6.2"
"dd6",3,"M0",317500,0.028,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,"dd6.3"
"dd6",3,"M2",NA,0.112,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,"dd6.3"
"dd6",3,"M3",1030000,0.071,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,"dd6.3"
"dd6",3,"M4",NA,0.169,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,"dd6.3"
"dd6",3,"M6",430000,0.074,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,"dd6.3"
"dd6",3,"M7",648000,0.116,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,"dd6.3"
"dd7",1,"M0",89800,0.029,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,"dd7.1"
"dd7",1,"M1",660000,0.152,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,"dd7.1"
"dd7",1,"M3",494000,0.131,0.002,11.3293357283742,0.539492177541628,3.7764452427914,24.7764452427914,0.457262356135225,"dd7.1"
"dd7",1,"M4",784444.444444444,0.234,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,"dd7.1"
"dd7",1,"M5",7320,0.00299999999999999,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,"dd7.1"
"dd7",1,"M6",794000,0.154,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,"dd7.1"
"dd7",1,"M7",602000,0.171,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,"dd7.1"
"dd7",2,"M0",370000,0.083,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,"dd7.2"
"dd7",2,"M1",666000,0.161,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,"dd7.2"
"dd7",2,"M3",744000,0.138,0.002,11.3293357283742,0.539492177541628,3.7764452427914,24.7764452427914,0.457262356135225,"dd7.2"
"dd7",2,"M4",1348000,0.218,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,"dd7.2"
"dd7",2,"M5",31000,0.00399999999999999,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,"dd7.2"
"dd7",2,"M6",1e+06,0.154,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,"dd7.2"
"dd7",2,"M7",1057777.77777778,0.179,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,"dd7.2"
"dd7",3,"M0",386000,0.119,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,"dd7.3"
"dd7",3,"M1",1234285.71428571,0.161,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,"dd7.3"
"dd7",3,"M4",744000,0.193,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,"dd7.3"
"dd7",3,"M5",41400,0.017,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,"dd7.3"
"dd7",3,"M6",772500,0.153,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,"dd7.3"
"dd7",3,"M7",1285000,0.197,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,"dd7.3"
"dd7",4,"M0",531111.111111111,0.11,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,"dd7.4"
"dd7",4,"M1",792000,0.161,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,"dd7.4"
"dd7",4,"M4",776000,0.173,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,"dd7.4"
"dd7",4,"M5",59600,0.022,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,"dd7.4"
"dd7",4,"M6",836000,0.15,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,"dd7.4"
"dd7",4,"M7",974000,0.192,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,"dd7.4"
"dd2",2,"M0",804000,0.1825,1e-04,1.08510638297872,0.0516717325227963,0.361702127659574,21.3617021276596,0.050796812749004,"dd2.2"
"dd2",2,"M1",905714.285714286,0.1864,5e-04,4.29787234042553,0.204660587639311,1.43262411347518,22.4326241134752,0.191590262409105,"dd2.2"
"dd2",2,"M2",778000,0.1644,0.001,7.21276595744681,0.343465045592705,2.40425531914894,23.4042553191489,0.308181818181818,"dd2.2"
"dd2",2,"M3",626000,0.1425,0.00125,9.27659574468085,0.441742654508612,3.09219858156028,24.0921985815603,0.385045628495732,"dd2.2"
"dd2",2,"M4",524000,0.1776,1e-04,1.27659574468085,0.060790273556231,0.425531914893617,21.4255319148936,0.0595829195630586,"dd2.2"
"dd2",2,"M5",846666.666666667,0.1898,0.00025,2.38297872340426,0.113475177304965,0.794326241134752,21.7943262411348,0.109339407744875,"dd2.2"
"dd2",2,"M6",612000,0.159,0.00075,5.8936170212766,0.2806484295846,1.9645390070922,22.9645390070922,0.256639901173564,"dd2.2"
"dd2",2,"M7",548888.888888889,0.1472,0.0015,11.6382978723404,0.554204660587639,3.87943262411348,24.8794326241135,0.467787913340935,"dd2.2"
"dd3",4,"M6",758000,0.1269,0.0012,6.4671201814059,0.307958103876471,2.1557067271353,23.1557067271353,0.279288395625918,"dd3.4"
"dd3",4,"M7",510000,0.0938,0.0028,18.2864595967586,0.870783790321838,6.09548653225287,27.0954865322529,0.674889508811421,"dd3.4"
"dd3",4,"M5",672000,0.1357,0.0022,15.9834467120181,0.761116510096102,5.32781557067271,26.3278155706727,0.607093538357301,"dd3.4"
"dd3",4,"M0",488000,0.1628,0.0019,15.5163265306122,0.738872691933916,5.17210884353741,26.1721088435374,0.592857328516102,"dd3.4"
"dd3",4,"M1",554000,0.1659,1e-04,1.08639455782313,0.0517330741820538,0.362131519274376,21.3621315192744,0.050856093496237,"dd3.4"
"dd3",4,"M3",544000,0.132,0.0017,14.2061224489796,0.676482021379981,4.73537414965986,25.7353741496599,0.552007612804314,"dd3.4"
"dd3",4,"M2",123555.555555556,0.053,0.0025,17.7591801578513,0.845675245611964,5.91972671928375,26.9197267192838,0.659708783192424,"dd3.4"
"dd3",2,"M1",938000,NA,1e-04,1.08639455782313,0.0517330741820538,0.362131519274376,21.3621315192744,0.050856093496237,"dd3.2"
"dd3",6,"M2",NA,0.1072,0.0025,17.7591801578513,0.845675245611964,5.91972671928375,26.9197267192838,0.659708783192424,"dd3.6"
"dd3",6,"M7",NA,0.1455,0.0028,18.2864595967586,0.870783790321838,6.09548653225287,27.0954865322529,0.674889508811421,"dd3.6"
"dd4",1,"M0",4300,0.000899999999999998,0.0028,21.1743959697788,1.00830456998947,7.05813198992626,28.0581319899263,0.754661642385211,"dd4.1"
"dd4",1,"M1",832000,0.2383,1e-04,0.816326530612245,0.0388726919339164,0.272108843537415,21.2721088435374,0.0383754397185801,"dd4.1"
"dd4",1,"M2",11460,0.0087,0.003,22.0356946721367,1.04931879391127,7.34523155737891,28.3452315573789,0.777403939266826,"dd4.1"
"dd4",1,"M3",596000,0.2315,5e-05,1.22448979591837,0.0583090379008746,0.408163265306122,21.4081632653061,0.0571973307912297,"dd4.1"
"dd4",1,"M4",368000,0.125,0.0022,14.6358839704611,0.696946855736242,4.8786279901537,25.8786279901537,0.565558729621591,"dd4.1"
"dd4",1,"M5",48666.6666666667,0.0202,0.0024,18.2196744199232,0.867603543805865,6.07322480664106,27.0732248066411,0.672977620880018,"dd4.1"
"dd4",1,"M7",278000,0.0749,0.0026,16.8079373178876,0.800377967518456,5.60264577262919,26.6026457726292,0.631814499262357,"dd4.1"
"dd4",2,"M0",42000,0.0188,0.0028,21.1743959697788,1.00830456998947,7.05813198992626,28.0581319899263,0.754661642385211,"dd4.2"
"dd4",2,"M1",642000,0.1923,1e-04,0.816326530612245,0.0388726919339164,0.272108843537415,21.2721088435374,0.0383754397185801,"dd4.2"
"dd4",2,"M2",43000,0.0176,0.003,22.0356946721367,1.04931879391127,7.34523155737891,28.3452315573789,0.777403939266826,"dd4.2"
"dd4",2,"M3",916000,0.2145,5e-05,1.22448979591837,0.0583090379008746,0.408163265306122,21.4081632653061,0.0571973307912297,"dd4.2"
"dd4",2,"M4",478000,0.1329,0.0022,14.6358839704611,0.696946855736242,4.8786279901537,25.8786279901537,0.565558729621591,"dd4.2"
"dd4",2,"M5",76200,0.0384,0.0024,18.2196744199232,0.867603543805865,6.07322480664106,27.0732248066411,0.672977620880018,"dd4.2"
"dd4",2,"M7",384000,0.1215,0.0026,16.8079373178876,0.800377967518456,5.60264577262919,26.6026457726292,0.631814499262357,"dd4.2"
"dd4",3,"M0",102200,0.0347,0.0028,21.1743959697788,1.00830456998947,7.05813198992626,28.0581319899263,0.754661642385211,"dd4.3"
"dd4",3,"M1",428000,0.1654,1e-04,0.816326530612245,0.0388726919339164,0.272108843537415,21.2721088435374,0.0383754397185801,"dd4.3"
"dd4",3,"M2",74600,0.0266,0.003,22.0356946721367,1.04931879391127,7.34523155737891,28.3452315573789,0.777403939266826,"dd4.3"
"dd4",3,"M3",465000,0.1846,5e-05,1.22448979591837,0.0583090379008746,0.408163265306122,21.4081632653061,0.0571973307912297,"dd4.3"
"dd4",3,"M4",410000,0.0917,0.0022,14.6358839704611,0.696946855736242,4.8786279901537,25.8786279901537,0.565558729621591,"dd4.3"
"dd4",3,"M5",262000,0.0626,0.0024,18.2196744199232,0.867603543805865,6.07322480664106,27.0732248066411,0.672977620880018,"dd4.3"
"dd4",3,"M7",6e+05,0.129,0.0026,16.8079373178876,0.800377967518456,5.60264577262919,26.6026457726292,0.631814499262357,"dd4.3"
"dd4",4,"M0",116444.444444444,0.0483,0.0028,21.1743959697788,1.00830456998947,7.05813198992626,28.0581319899263,0.754661642385211,"dd4.4"
"dd4",4,"M1",480000,0.1506,1e-04,0.816326530612245,0.0388726919339164,0.272108843537415,21.2721088435374,0.0383754397185801,"dd4.4"
"dd4",4,"M2",69800,0.0287,0.003,22.0356946721367,1.04931879391127,7.34523155737891,28.3452315573789,0.777403939266826,"dd4.4"
"dd4",4,"M3",538000,0.1596,5e-05,1.22448979591837,0.0583090379008746,0.408163265306122,21.4081632653061,0.0571973307912297,"dd4.4"
"dd4",4,"M4",290000,0.0854,0.0022,14.6358839704611,0.696946855736242,4.8786279901537,25.8786279901537,0.565558729621591,"dd4.4"
"dd4",4,"M5",360000,0.0957,0.0024,18.2196744199232,0.867603543805865,6.07322480664106,27.0732248066411,0.672977620880018,"dd4.4"
"dd4",4,"M7",272000,0.1043,0.0026,16.8079373178876,0.800377967518456,5.60264577262919,26.6026457726292,0.631814499262357,"dd4.4"
